"Yearly Results of Hester Biosciences (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","219.35","208.48","169.43","170.35","131.45"," ",
"Other Operating Income","--","--","--","0.83","3.34"," ",
"Total Income From Operations","219.35","208.48","169.43","171.19","134.79"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","34.93","24.18","21.13","22.73","21.70"," ",
"Purchase of Traded Goods","39.30","25.21","17.19","13.73","7.84"," ",
"Increase/Decrease in Stocks","-12.53","4.01","-15.57","-7.25","-6.24"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","39.12","33.45","37.16","26.74","22.29"," ",
"Depreciation","9.50","9.63","9.39","7.57","5.45"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","57.96","49.64","56.80","47.47","39.59"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","51.07","62.36","43.34","60.20","44.15"," ",
"Other Income","4.66","1.65","2.93","3.10","1.88"," ",
"P/L Before Int., Excpt. Items & Tax","55.72","64.01","46.26","63.29","46.02"," ",
"Interest","2.47","3.95","5.03","3.54","2.32"," ",
"P/L Before Exceptional Items & Tax","53.26","60.06","41.23","59.75","43.71"," ",
"Exceptional Items","--","-5.28","--","--","--"," ",
"P/L Before Tax","53.26","54.78","41.23","59.75","43.71"," ",
"Tax","13.74","14.88","10.01","15.90","13.15"," ",
"P/L After Tax from Ordinary Activities","39.52","39.90","31.22","43.85","30.56"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","39.52","39.90","31.22","43.85","30.56"," ",
"Equity Share Capital","8.51","8.51","8.51","8.51","8.51"," ",
"Reserves Excluding Revaluation Reserves","259.93","229.07","194.57","170.93","137.57"," ",
"Equity Dividend Rate (%)","100.00","100.00","66.00","110.00","100.00"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","46.45","46.90","36.70","51.55","35.92"," ",
"Diluted EPS","46.45","46.90","36.70","51.55","35.92"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","46.45","46.90","36.70","51.55","35.92"," ",
"Diluted EPS.","46.45","46.90","36.70","51.55","35.92"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
