"Yearly Results of Kopran (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","204.36","222.83","179.29","196.65","153.71"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","204.36","222.83","179.29","196.65","153.71"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","128.52","105.16","108.96","95.91","80.05"," ",
"Purchase of Traded Goods","3.23","17.88","9.54","20.98","15.25"," ",
"Increase/Decrease in Stocks","-3.93","14.70","-17.33","0.47","-4.06"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","21.05","18.34","20.02","20.38","18.34"," ",
"Depreciation","4.32","4.10","3.47","3.11","3.22"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","40.23","36.55","34.92","36.08","35.17"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","10.93","26.10","19.70","19.72","5.73"," ",
"Other Income","8.18","10.41","1.99","3.10","7.86"," ",
"P/L Before Int., Excpt. Items & Tax","19.12","36.51","21.69","22.81","13.59"," ",
"Interest","2.95","3.81","5.96","5.46","6.63"," ",
"P/L Before Exceptional Items & Tax","16.16","32.71","15.73","17.36","6.96"," ",
"Exceptional Items","--","--","--","--","--"," ",
"P/L Before Tax","16.16","32.71","15.73","17.36","6.96"," ",
"Tax","4.42","9.23","4.51","4.39","2.25"," ",
"P/L After Tax from Ordinary Activities","11.74","23.47","11.22","12.97","4.71"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","11.74","23.47","11.22","12.97","4.71"," ",
"Equity Share Capital","48.21","43.25","43.25","43.25","43.25"," ",
"Reserves Excluding Revaluation Reserves","330.51","203.60","186.42","175.19","162.50"," ",
"Equity Dividend Rate (%)","30.00","30.00","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","2.65","5.43","2.59","3.00","1.11"," ",
"Diluted EPS","2.65","5.43","2.59","3.00","1.11"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","2.65","5.43","2.59","3.00","1.11"," ",
"Diluted EPS.","2.65","5.43","2.59","3.00","1.11"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
