"Yearly Results of Technocraft Industries (India) (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18",
"Consumption of Raw Materials","804.48","434.04","606.03","610.62","555.22",
"Purchase of Traded Goods","36.49","4.65","28.39","45.67","18.18",
"Employees Cost","100.48","92.11","92.87","78.67","66.91",
"Other Expenses","447.4","279.99","298.69","270.25","248.22",
"Net Profit/(Loss) For the Period","221.73","99.29","102.69","102.35","108.62",
"Basic EPS (Rs.)","90.64","40.59","41.98","41.84","41.55"," ",
"Diluted EPS (Rs.)","90.64","40.59","41.98","41.84","41.55"," ",
"Cash EPS (Rs.)","113.24","64.87","60.26","54.41","53.82"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","479.16","389.40","348.53","306.50","264.76"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","479.16","389.40","348.53","306.50","264.76"," ",
"Dividend / Share(Rs.)","0.00","0.00","0.00","0.00","0.00"," ",
"Revenue from Operations/Share (Rs.)","681.43","406.84","482.99","470.55","413.02"," ",
"PBDIT/Share (Rs.)","144.01","89.58","82.84","82.41","80.06"," ",
"PBIT/Share (Rs.)","121.42","65.30","64.56","69.84","70.64"," ",
"PBT/Share (Rs.)","119.51","59.79","51.61","57.97","63.59"," ",
"Net Profit/Share (Rs.)","90.65","40.59","41.98","41.84","44.41"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","21.13","22.01","17.15","17.51","19.38"," ",
"PBIT Margin (%)","17.81","16.05","13.36","14.84","17.10"," ",
"PBT Margin (%)","17.53","14.69","10.68","12.32","15.39"," ",
"Net Profit Margin (%)","13.30","9.97","8.69","8.89","10.75"," ",
"Return on Networth / Equity (%)","18.91","10.42","12.04","13.65","16.77"," ",
"Return on Capital Employed (%)","23.63","14.57","15.37","20.32","24.12"," ",
"Return on Assets (%)","12.51","6.70","6.56","7.39","8.94"," ",
"Total Debt/Equity (X)","0.31","0.32","0.59","0.66","0.61"," ",
"Asset Turnover Ratio (%)","1.03","67.25","75.54","83.14","83.24"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","2.27","2.48","1.88","1.69","1.76"," ",
"Quick Ratio (X)","1.65","1.84","1.34","1.15","1.26"," ",
"Inventory Turnover Ratio (X)","2.86","4.04","4.06","3.89","4.06"," ",
"Dividend Payout Ratio (NP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Dividend Payout Ratio (CP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Cash Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","2,710.95","1,218.12","850.99","1,833.98","1,558.71"," ",
"EV/Net Operating Revenue (X)","1.63","1.22","0.72","1.59","1.54"," ",
"EV/EBITDA (X)","7.70","5.56","4.20","9.10","7.96"," ",
"MarketCap/Net Operating Revenue (X)","1.45","0.97","0.35","1.20","1.19"," ",
"Retention Ratios (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Price/BV (X)","2.07","1.01","0.49","1.84","1.86"," ",
"Price/Net Operating Revenue","1.45","0.97","0.35","1.20","1.19"," ",
"Earnings Yield","0.09","0.10","0.25","0.07","0.09"," ",
