"Yearly Results of Ind-Swift (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","397.71","356.06","329.52","289.03","270.57"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","397.71","356.06","329.52","289.03","270.57"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","192.28","173.67","172.51","137.17","125.35"," ",
"Purchase of Traded Goods","20.15","17.32","18.52","19.67","36.89"," ",
"Increase/Decrease in Stocks","-1.41","-4.46","-4.13","3.12","-8.09"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","63.15","55.79","52.53","49.93","48.27"," ",
"Depreciation","32.07","32.70","33.59","33.97","34.63"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","78.19","72.37","66.76","60.35","61.85"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","13.28","8.67","-10.26","-15.17","-28.34"," ",
"Other Income","23.55","9.27","15.88","7.19","10.16"," ",
"P/L Before Int., Excpt. Items & Tax","36.82","17.94","5.62","-7.98","-18.17"," ",
"Interest","57.16","46.23","28.68","2.62","7.05"," ",
"P/L Before Exceptional Items & Tax","-20.34","-28.29","-23.06","-10.60","-25.23"," ",
"Exceptional Items","0.73","-1.21","6.40","16.38","-28.15"," ",
"P/L Before Tax","-19.60","-29.49","-16.66","5.77","-53.38"," ",
"Tax","0.42","0.32","2.46","--","0.75"," ",
"P/L After Tax from Ordinary Activities","-20.02","-29.82","-19.12","5.77","-54.13"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","-20.02","-29.82","-19.12","5.77","-54.13"," ",
"Equity Share Capital","10.83","10.83","10.83","10.83","10.83"," ",
"Reserves Excluding Revaluation Reserves","-731.15","-706.00","-723.95","-687.12","-690.20"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","-3.70","-5.50","-6.71","0.58","-9.99"," ",
"Diluted EPS","-3.70","-5.50","-6.71","0.58","-9.99"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","-3.70","-5.50","-6.71","0.58","-9.99"," ",
"Diluted EPS.","-3.70","-5.50","-6.71","0.58","-9.99"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
"Basic EPS (Rs.)","-3.70","-5.50","-6.71","0.58","-9.99"," ",
"Diluted EPS (Rs.)","-3.70","-5.50","-6.71","0.58","-9.99"," ",
"Cash EPS (Rs.)","2.23","0.53","2.67","7.34","-3.60"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","-132.99","-128.34","-131.66","-124.86","-125.43"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","-132.99","-128.34","-131.66","-124.86","-125.43"," ",
"Dividend / Share(Rs.)","0.00","0.00","0.00","0.00","0.00"," ",
"Revenue from Operations/Share (Rs.)","73.43","65.74","60.84","53.36","49.81"," ",
"PBDIT/Share (Rs.)","12.72","9.35","7.24","4.80","3.04"," ",
"PBIT/Share (Rs.)","6.80","3.31","1.04","-1.47","-3.36"," ",
"PBT/Share (Rs.)","-3.62","-5.45","-3.08","1.07","-9.85"," ",
"Net Profit/Share (Rs.)","-3.70","-5.50","-3.53","1.07","-9.99"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","17.32","14.22","11.90","8.99","6.10"," ",
"PBIT Margin (%)","9.25","5.03","1.70","-2.76","-6.73"," ",
"PBT Margin (%)","-4.92","-8.28","-5.05","1.99","-19.78"," ",
"Net Profit Margin (%)","-5.03","-8.37","-5.80","1.99","-20.06"," ",
"Return on Networth / Equity (%)","0.00","0.00","0.00","-0.85","0.00"," ",
"Return on Capital Employed (%)","-42.90","-51.87","-10.71","46.99","-125.08"," ",
"Return on Assets (%)","-3.16","-4.43","-3.17","0.96","-8.83"," ",
"Total Debt/Equity (X)","-1.44","-1.47","-1.42","-1.47","-1.53"," ",
"Asset Turnover Ratio (%)","0.61","0.56","54.76","48.29","44.03"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","0.34","0.38","0.35","0.31","0.31"," ",
"Quick Ratio (X)","0.24","0.29","0.27","0.23","0.24"," ",
"Inventory Turnover Ratio (X)","2.90","3.01","6.29","5.90","5.94"," ",
"Dividend Payout Ratio (NP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Dividend Payout Ratio (CP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Cash Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","1,080.08","1,015.88","1,010.66","1,018.46","1,090.67"," ",
"EV/Net Operating Revenue (X)","2.72","2.85","3.07","3.52","4.04"," ",
"EV/EBITDA (X)","15.68","20.06","25.77","39.19","66.27"," ",
"MarketCap/Net Operating Revenue (X)","0.15","0.07","0.04","0.10","0.14"," ",
"Retention Ratios (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Price/BV (X)","-0.08","-0.04","-0.02","-0.04","-0.06"," ",
"Price/Net Operating Revenue","0.15","0.07","0.04","0.10","0.14"," ",
"Earnings Yield","-0.33","-1.21","-1.53","0.19","-1.38"," ",
